
0.0;+2.965920E-07
0.01;+5.515350E-06
0.02;+1.059271E-05
0.03;+1.536870E-05
0.04;+2.083293E-05
0.05;+2.639170E-05
0.06;+3.205870E-05
0.07;+3.755270E-05
0.08;+4.342640E-05
0.09;+4.977910E-05
0.1;+5.689020E-05
0.11;+6.328000E-05
0.12;+7.079940E-05
0.13;+7.872140E-05
0.14;+8.661860E-05
0.15;+9.646950E-05
0.16;+1.061791E-04
0.17;+1.153261E-04
0.18;+1.255254E-04
0.19;+1.356538E-04
0.2;+1.475251E-04
0.21;+1.594475E-04
0.22;+1.751000E-04
0.23;+1.881531E-04
0.24;+2.012272E-04
0.25;+2.208970E-04
0.26;+2.327500E-04
0.27;+2.457190E-04
0.28;+2.583820E-04
0.29;+2.731160E-04
0.3;+3.116410E-04
0.31;+3.172740E-04
0.32;+3.355700E-04
0.33;+6.281100E-04
0.34;+6.470590E-04
0.35;+6.885510E-04
0.36;+7.310110E-04
0.37;+7.640060E-04
0.38;+8.004230E-04
0.39;+8.356670E-04
0.4;+8.838310E-04
0.41;+9.258710E-04
0.42;+9.685170E-04
0.43;+1.014594E-03
0.44;+1.070068E-03
0.45;+1.104343E-03
0.46;+1.551248E-03
0.47;+1.571132E-03
0.48;+1.568492E-03
0.49;+1.593809E-03
0.5;+1.622059E-03
0.51;+1.661873E-03
0.52;+1.700453E-03
0.53;+1.747031E-03
0.54;+1.775536E-03
0.55;+1.824848E-03
0.56;+1.845178E-03
0.57;+1.894801E-03
0.58;+1.926665E-03
0.59;+1.971140E-03
0.6;+2.012194E-03
0.61;+2.075607E-03
0.62;+2.127460E-03
0.63;+2.548080E-03
0.64;+2.623050E-03
0.65;+2.697420E-03
0.66;+2.746770E-03
0.67;+2.806160E-03
0.68;+2.857370E-03
0.69;+2.906600E-03
0.7;+2.726170E-03
0.71;+2.808030E-03
0.72;+2.912120E-03
0.73;+2.993230E-03
0.74;+3.106430E-03
0.75;+3.233460E-03
0.76;+3.328940E-03
0.77;+3.463910E-03
0.78;+3.634060E-03
0.79;+3.813160E-03
0.8;+4.005060E-03
0.81;+4.226770E-03
0.82;+4.451480E-03
0.83;+4.699080E-03
0.84;+4.926670E-03
0.85;+5.171740E-03
0.86;+5.427900E-03
0.87;+5.606200E-03
0.88;+5.823690E-03
0.89;+6.072340E-03
0.9;+6.326130E-03
0.91;+6.581260E-03
0.92;+6.852740E-03
0.93;+7.107250E-03
0.94;+7.393040E-03
0.95;+7.693830E-03
0.96;+8.000460E-03
0.97;+8.281930E-03
0.98;+8.534070E-03
0.99;+8.779690E-03
1.0;+9.064210E-03
